Date & Time	Document	Draft	Total Words	Average Sentence	Passive Index	Style Index	Bog Index	Reading Grade	Jargon	Glue	Pep	Task	Audience	Author
01 Nov 2019 18:53	flat_branch_mortgage_inc_all.docx	Original	11216	10.2	11	45	53	9.8	1.5	34	17	General Writing	Public	john
01 Nov 2019 18:55	flat_branch_mortgage_inc_refined.docx	Original	9558	14.8	18	50	54	11.1	1.1	38	14	General Writing	Public	john
01 Nov 2019 18:58	fm_home_loans_llc_all.docx	Original	43144	10.3	6	55	60	9.9	2.7	35	18	General Writing	Public	john
01 Nov 2019 19:05	fm_home_loans_llc_refined.docx	Original	36127	14.3	10	59	54	10.6	1.2	40	16	General Writing	Public	john
01 Nov 2019 19:11	franklin_american_mortgage_all.docx	Original	10724	9.6	5	37	54	9.9	2.3	34	15	General Writing	Public	john
01 Nov 2019 19:13	franklin_american_mortgage_refined.docx	Original	9262	12.8	8	37	53	10.5	1.7	36	12	General Writing	Public	john
01 Nov 2019 19:20	freedom_mortgage_all.docx	Original	144425	14.2	11	38	41	10.2	0.8	38	15	General Writing	Public	john
01 Nov 2019 19:43	freedom_mortgage_refined.docx	Original	136711	16.0	12	38	42	10.8	0.7	39	14	General Writing	Public	john
01 Nov 2019 20:03	gateway_mortgage_corporation_all.docx	Original	3629	9.0	7	41	40	9.3	0.4	34	19	General Writing	Public	john
01 Nov 2019 20:03	gateway_mortgage_corporation_refined.docx	Original	3074	15.8	14	45	40	10.8	0.4	39	15	General Writing	Public	john
01 Nov 2019 20:06	gateway_mortgage_group_llc_all.docx	Original	69057	16.0	13	46	53	12.4	1.0	36	12	General Writing	Public	john
01 Nov 2019 20:18	gateway_mortgage_group_llc_refined.docx	Original	65106	19.0	16	46	54	13.3	1.0	37	11	General Writing	Public	john
01 Nov 2019 20:29	gmfs_llc_all.docx	Original	65550	10.7	8	43	52	10.4	1.0	34	16	General Writing	Public	john
01 Nov 2019 20:40	gmfs_llc_refined.docx	Original	57201	14.8	12	45	52	11.2	0.8	37	13	General Writing	Public	john
01 Nov 2019 20:49	goodmortgagecom_all.docx	Original	2478	7.0	4	39	45	8.4	1.7	32	18	General Writing	Public	john
01 Nov 2019 20:49	goodmortgagecom_refined.docx	Original	1871	10.8	8	48	47	9.4	1.1	39	17	General Writing	Public	john
01 Nov 2019 20:50	gsf_mortgage_corp_all.docx	Original	909	8.0	9	37	35	8.5	0.3	37	21	General Writing	Public	john
01 Nov 2019 20:51	gsf_mortgage_corp_refined.docx	Original	778	15.0	19	42	43	11.3	0.4	40	17	General Writing	Public	john
01 Nov 2019 20:54	guaranteed_rate_inc_all.docx	Original	83120	13.7	11	51	47	10.5	1.0	39	16	General Writing	Public	john
01 Nov 2019 21:07	guaranteed_rate_inc_refined.docx	Original	77636	16.4	13	52	49	11.3	0.8	40	14	General Writing	Public	john
01 Nov 2019 21:20	guardian_mortgage_company_inc_all.docx	Original	48872	12.0	10	44	49	10.5	1.2	37	16	General Writing	Public	john
01 Nov 2019 21:28	guardian_mortgage_company_inc_refined.docx	Original	44980	16.5	15	46	48	11.7	0.8	39	14	General Writing	Public	john
01 Nov 2019 21:53	guild_mortgage_all.docx	Original	347154	9.6	6	34	53	10.0	1.5	32	17	General Writing	Public	john
01 Nov 2019 22:45	guild_mortgage_refined.docx	Original	287308	15.5	11	38	45	11.2	0.9	37	13	General Writing	Public	john
01 Nov 2019 23:22	hallmark_home_mortgage_llc_all.docx	Original	17062	12.7	9	42	45	10.1	1.3	37	15	General Writing	Public	john
01 Nov 2019 23:25	hallmark_home_mortgage_llc_refined.docx	Original	15576	18.7	15	45	47	11.9	0.6	40	11	General Writing	Public	john
01 Nov 2019 23:29	harborone_mortgage_llc_all.docx	Original	30500	8.9	6	44	56	9.9	1.3	34	18	General Writing	Public	john
01 Nov 2019 23:34	harborone_mortgage_llc_refined.docx	Original	25560	14.9	13	50	46	10.8	1.1	39	15	General Writing	Public	john
01 Nov 2019 23:38	hartford_funding_ltd_all.docx	Original	6283	13.3	10	44	49	11.2	1.7	37	17	General Writing	Public	john
01 Nov 2019 23:39	hartford_funding_ltd_refined.docx	Original	5880	16.2	12	43	49	11.9	1.1	39	15	General Writing	Public	john
01 Nov 2019 23:41	highland_residential_mortgage_ltd_all.docx	Original	26911	13.5	12	43	52	11.1	1.4	36	13	General Writing	Public	john
01 Nov 2019 23:46	highland_residential_mortgage_ltd_refined.docx	Original	25113	16.2	15	44	53	11.9	1.2	38	12	General Writing	Public	john
01 Nov 2019 23:50	hightech_lending_inc_all.docx	Original	5604	8.9	6	50	72	12.1	3.1	28	15	General Writing	Public	john
01 Nov 2019 23:52	hightech_lending_inc_refined.docx	Original	4511	12.3	10	55	71	12.6	3.3	33	12	General Writing	Public	john
01 Nov 2019 23:53	homeamerican_mortgage_corp_all.docx	Original	5903	11.0	14	51	55	10.6	1.1	40	11	General Writing	Public	john
01 Nov 2019 23:54	homeamerican_mortgage_corp_refined.docx	Original	5239	15.6	22	53	56	11.5	0.7	43	8	General Writing	Public	john
02 Nov 2019 00:17	0_homebridge_financial_services_all.docx	Original	349754	8.5	5	53	47	8.1	0.7	36	19	General Writing	Public	john
02 Nov 2019 01:14	1_homebridge_financial_services_all.docx	Original	349022	8.5	4	52	47	8.2	0.7	36	20	General Writing	Public	john
02 Nov 2019 01:59	2_homebridge_financial_services_all.docx	Original	159476	8.3	4	53	48	8.1	0.7	36	19	General Writing	Public	john
02 Nov 2019 02:38	0_homebridge_financial_services_refined.docx	Original	349892	12.8	8	57	48	9.3	0.5	40	16	General Writing	Public	john
02 Nov 2019 03:36	1_homebridge_financial_services_refined.docx	Original	349147	12.9	8	57	48	9.5	0.5	40	17	General Writing	Public	john
02 Nov 2019 04:18	2_homebridge_financial_services_refined.docx	Original	26073	12.7	8	59	50	9.4	0.5	40	16	General Writing	Public	john
02 Nov 2019 04:23	homestar_financial_corporation_all.docx	Original	39966	8.9	4	32	75	11.6	4.3	28	18	General Writing	Public	john
02 Nov 2019 04:29	homestar_financial_corporation_refined.docx	Original	27755	15.1	9	41	52	11.1	1.1	38	15	General Writing	Public	john
02 Nov 2019 04:35	homestead_funding_corp_all.docx	Original	53340	10.6	7	42	45	9.5	1.5	37	17	General Writing	Public	john
